product_id,old_name,category,price,base_price,status,amount,user_id,region,priority
P0001,Table,Furniture,75084.45,61840.99,Pending,75084.45,1001,West,Low
P0002,Bottle,Kitchen,15357.29,13391.34,Pending,15357.29,1002,East,High
P0003,Phone,Electronics,45308.08,45152.67,Completed,45308.08,1003,North,High
P0004,Chair,Furniture,27443.51,23301.41,Pending,27443.51,,West,Medium
P0005,Fan,HomeAppliance,70929.06,66631.99,Completed,70929.06,1005,East,Medium
P0006,Watch,Accessories,16990.38,15016.24,Completed,16990.38,1006,East,High
P0007,Watch,Accessories,66935.5,65899.55,Completed,66935.5,1007,West,High
P0008,Headphones,Electronics,94673.14,77579.14,Cancelled,94673.14,1008,South,Medium
P0009,Bag,Accessories,75090.36,69396.53,Pending,75090.36,1009,South,Medium
P0010,Phone,Electronics,81745.74,68209.35,Cancelled,81745.74,1010,West,High
P0011,Mouse,Electronics,23005.38,21123.57,Completed,23005.38,1011,North,Low
P0012,Headphones,Electronics,25793.63,22805.24,Cancelled,25793.63,1012,South,High
P0013,Shoes,Clothing,19023.14,18364.97,Completed,19023.14,1013,West,Low
P0014,Mixer,HomeAppliance,57544.53,50669.24,Completed,57544.53,1014,South,Low
P0015,Chair,Furniture,95441.51,78859.04,Completed,95441.51,1015,West,Medium
P0016,Phone,Electronics,39899.9,38872.23,Cancelled,39899.9,1016,North,Medium
P0017,Headphones,Electronics,15996.76,14057.73,Cancelled,15996.76,1017,North,High
P0018,Mixer,HomeAppliance,51848.71,51583.64,Pending,51848.71,1018,West,Medium
P0019,Watch,Accessories,41119.31,40583.21,Completed,41119.31,,East,Low
P0020,Shoes,Clothing,69646.39,60626.45,Pending,69646.39,1020,East,Low
P0021,Bag,Accessories,44483.28,45329.95,Completed,44483.28,,East,Medium
P0022,Shirt,Clothing,34444.07,30719.72,Cancelled,34444.07,1022,North,Low
P0023,Shoes,Clothing,38443.93,35173.8,Completed,38443.93,1023,South,Medium
P0024,Mouse,Electronics,4195.12,4091.07,Completed,4195.12,1024,North,Medium
P0025,Laptop,Electronics,1904.71,1894.32,Cancelled,1904.71,1025,East,Low
P0026,Mixer,HomeAppliance,69766.07,59915.32,Completed,69766.07,1026,South,Medium
P0027,Shoes,Clothing,24978.64,23949.58,Cancelled,24978.64,1027,West,Low
P0028,Bag,Accessories,69472.03,59610.74,Completed,69472.03,1028,South,Medium
P0029,Mouse,Electronics,5994.38,5261.55,Completed,5994.38,1029,West,Low
P0030,Mixer,HomeAppliance,90312.27,77241.9,Cancelled,90312.27,1030,West,Low
P0031,Fan,HomeAppliance,22236.56,17807.7,Completed,22236.56,1031,East,High
P0032,Table,Furniture,11201.15,10579.66,Pending,11201.15,1032,East,High
P0033,Mixer,HomeAppliance,40657.48,37340.59,Completed,40657.48,1033,East,Medium
P0034,Shoes,Clothing,55473.2,45103.91,Completed,55473.2,1034,East,High
P0035,Headphones,Electronics,23920.98,21863.56,Completed,23920.98,1035,South,Medium
P0036,Mouse,Electronics,77987.96,66342.71,Pending,77987.96,1036,North,High
P0037,Laptop,Electronics,7565.65,6563.05,Completed,7565.65,1037,North,High
P0038,Laptop,Electronics,20804.27,19352.55,Pending,20804.27,1038,West,Low
P0039,Watch,Accessories,32554.43,30617.42,Completed,32554.43,1039,South,Medium
P0040,Bottle,Kitchen,83290.55,79935.71,Completed,83290.55,1040,East,Medium
P0041,Shirt,Clothing,34884.46,35846.55,Completed,34884.46,1041,South,Low
P0042,Keyboard,Electronics,66736.03,54745.82,Completed,66736.03,1042,South,Medium
P0043,Shirt,Clothing,55493.48,53732.03,Cancelled,55493.48,1043,North,Low
P0044,Keyboard,Electronics,1061.2,997.37,Pending,1061.2,1044,West,Low
P0045,Bag,Accessories,5015.01,4654.72,Completed,5015.01,1045,South,Low
P0046,Shirt,Clothing,13125.89,13207.88,Completed,13125.89,1046,West,High
P0047,Fan,HomeAppliance,15958.56,14503.29,Completed,15958.56,1047,North,Low
P0048,Watch,Accessories,44718.96,38782.78,Pending,44718.96,1048,South,Medium
P0049,Mixer,HomeAppliance,42654.14,39754.62,Cancelled,42654.14,1049,West,Low
P0050,Shirt,Clothing,52445.47,51535.1,Completed,52445.47,1050,South,Low
P0051,Mixer,HomeAppliance,93224.88,78871.6,Pending,93224.88,,West,Medium
P0052,Bag,Accessories,12202.43,11749.18,Pending,12202.43,1052,North,Low
P0053,Mixer,HomeAppliance,37987.35,31766.84,Completed,37987.35,1053,South,Medium
P0054,Keyboard,Electronics,48045.74,42385.24,Pending,48045.74,1054,East,Low
P0055,Shirt,Clothing,38884.62,40120.08,Completed,38884.62,1055,West,High
P0056,Laptop,Electronics,43365.5,40828.89,Cancelled,43365.5,1056,West,Low
P0057,Headphones,Electronics,76589.57,64291.35,Completed,76589.57,1057,North,Low
P0058,Watch,Accessories,30108.04,30593.05,Cancelled,30108.04,1058,East,Low
P0059,Watch,Accessories,76257.36,63595.6,Completed,76257.36,1059,North,Low
P0060,Bag,Accessories,59567.9,55728.03,Cancelled,59567.9,1060,South,Medium
P0061,Mouse,Electronics,43131.34,37544.62,Cancelled,43131.34,1061,North,Low
P0062,Fan,HomeAppliance,76763.47,68412.89,Completed,76763.47,1062,East,Medium
P0063,Keyboard,Electronics,25894.1,23828.83,Completed,25894.1,1063,South,Medium
P0064,Shirt,Clothing,68735.41,62273.02,Pending,68735.41,1064,West,High
P0065,Chair,Furniture,65921.56,56286.29,Completed,65921.56,1065,South,Medium
P0066,Shoes,Clothing,74441.42,77309.65,Completed,74441.42,1066,North,Low
P0067,Table,Furniture,14370.83,13174.71,Completed,14370.83,1067,North,Medium
P0068,Shoes,Clothing,25552.03,22827.17,Completed,25552.03,1068,North,Low
P0069,Chair,Furniture,38393.59,34143.04,Cancelled,38393.59,1069,West,High
P0070,Phone,Electronics,21777.05,19339.25,Completed,21777.05,1070,North,Low
P0071,Table,Furniture,31338.91,31279.58,Cancelled,31338.91,1071,South,Medium
P0072,Bag,Accessories,8182.97,7274.97,Completed,8182.97,1072,South,Low
P0073,Mixer,HomeAppliance,42182.61,42939.94,Completed,42182.61,1073,East,Low
P0074,Bag,Accessories,59746.9,51397.31,Pending,59746.9,1074,East,Low
P0075,Shirt,Clothing,86882.98,79736.57,Cancelled,86882.98,1075,South,Medium
P0076,Mixer,HomeAppliance,41272.5,37158.14,Pending,41272.5,1076,West,Low
P0077,Fan,HomeAppliance,37888.19,33163.72,Completed,37888.19,1077,East,High
P0078,Table,Furniture,20746.31,19900.33,Completed,20746.31,1078,West,Medium
P0079,Mouse,Electronics,69240.08,67202.2,Cancelled,69240.08,1079,North,Medium
P0080,Keyboard,Electronics,63995.74,63860.99,Completed,63995.74,,East,High
P0081,Headphones,Electronics,42523.1,38057.54,Completed,42523.1,,North,Medium
P0082,Laptop,Electronics,91150.55,77054.78,Pending,91150.55,1082,West,High
P0083,Mouse,Electronics,26284.25,26891.05,Cancelled,26284.25,1083,East,Low
P0084,Shirt,Clothing,74700.65,60177.55,Pending,74700.65,1084,East,High
P0085,Fan,HomeAppliance,65645.86,56373.0,Pending,65645.86,1085,East,Low
P0086,Table,Furniture,1671.68,1456.11,Pending,1671.68,1086,East,Medium
P0087,Phone,Electronics,44730.04,46861.71,Completed,44730.04,1087,North,High
P0088,Table,Furniture,84898.42,78869.28,Completed,84898.42,1088,South,Medium
P0089,Bottle,Kitchen,42393.77,34093.38,Completed,42393.77,1089,West,High
P0090,Mouse,Electronics,75291.76,77510.66,Pending,75291.76,1090,East,Medium
P0091,Shirt,Clothing,77907.01,73501.86,Cancelled,77907.01,1091,West,High
P0092,Watch,Accessories,43694.77,39019.13,Pending,43694.77,1092,North,Low
P0093,Phone,Electronics,21870.17,18549.73,Cancelled,21870.17,1093,North,High
P0094,Keyboard,Electronics,41020.99,42919.38,Completed,41020.99,1094,West,High
P0095,Mouse,Electronics,26682.6,21761.89,Cancelled,26682.6,1095,West,High
P0096,Mouse,Electronics,72425.24,60002.36,Completed,72425.24,1096,West,Low
P0097,Headphones,Electronics,47023.93,44304.52,Pending,47023.93,1097,West,High
P0098,Shirt,Clothing,21172.4,18409.34,Pending,21172.4,1098,East,Low
P0099,Laptop,Electronics,46275.75,45653.11,Completed,46275.75,1099,West,High
P0100,Laptop,Electronics,63303.33,64288.61,Pending,63303.33,1100,North,High
P0101,Table,Furniture,11040.54,9079.74,Pending,11040.54,1101,South,Medium
P0102,Shirt,Clothing,71389.66,71572.58,Completed,71389.66,1102,West,Low
P0103,Bottle,Kitchen,9367.54,9507.7,Pending,9367.54,1103,East,Low
P0104,Shirt,Clothing,36811.99,36814.82,Completed,36811.99,1104,West,Medium
P0105,Mixer,HomeAppliance,14847.98,14936.72,Completed,14847.98,1105,South,Medium
P0106,Mouse,Electronics,1616.65,1602.14,Pending,1616.65,1106,North,Low
P0107,Keyboard,Electronics,3752.44,3059.07,Pending,3752.44,,West,Low
P0108,Watch,Accessories,78827.57,74120.14,Cancelled,78827.57,1108,North,High
P0109,Keyboard,Electronics,84777.39,71790.61,Pending,84777.39,1109,North,Low
P0110,Mixer,HomeAppliance,10478.53,9393.14,Completed,10478.53,1110,East,Medium
P0111,Mouse,Electronics,6508.21,5776.77,Completed,6508.21,1111,West,High
P0112,Watch,Accessories,58939.1,59075.55,Completed,58939.1,1112,West,High
P0113,Shoes,Clothing,61890.84,59449.05,Completed,61890.84,1113,North,High
P0114,Keyboard,Electronics,30159.86,24703.22,Pending,30159.86,1114,West,High
P0115,Bottle,Kitchen,29369.11,27049.61,Cancelled,29369.11,1115,East,High
P0116,Bag,Accessories,27386.13,26215.79,Completed,27386.13,1116,South,High
P0117,Keyboard,Electronics,61815.61,62257.95,Pending,61815.61,1117,South,Low
P0118,Bottle,Kitchen,57084.17,50707.55,Pending,57084.17,1118,East,Medium
P0119,Keyboard,Electronics,51520.74,51677.62,Completed,51520.74,1119,South,Low
P0120,Headphones,Electronics,21699.14,22387.5,Completed,21699.14,,North,Medium
P0121,Fan,HomeAppliance,5192.38,4233.2,Cancelled,5192.38,1121,East,High
P0122,Mouse,Electronics,69533.01,71625.63,Completed,69533.01,1122,South,Medium
P0123,Laptop,Electronics,30084.41,27359.11,Cancelled,30084.41,1123,East,High
P0124,Table,Furniture,24974.21,24016.35,Cancelled,24974.21,,North,Medium
P0125,Phone,Electronics,27289.6,26765.91,Completed,27289.6,1125,North,Medium
P0126,Chair,Furniture,30466.17,27823.13,Pending,30466.17,1126,North,Low
P0127,Table,Furniture,9088.86,7968.6,Completed,9088.86,,West,Medium
P0128,Keyboard,Electronics,26794.73,21618.62,Pending,26794.73,1128,East,Medium
P0129,Chair,Furniture,25293.07,23160.58,Completed,25293.07,1129,West,Medium
P0130,Bottle,Kitchen,82763.62,75454.95,Completed,82763.62,1130,West,High
P0131,Bag,Accessories,76385.38,69886.8,Pending,76385.38,1131,East,High
P0132,Mixer,HomeAppliance,36087.23,32509.75,Pending,36087.23,1132,North,Medium
P0133,Fan,HomeAppliance,30819.56,25189.4,Cancelled,30819.56,1133,East,Medium
P0134,Phone,Electronics,73829.64,65276.51,Completed,73829.64,1134,West,High
P0135,Shirt,Clothing,45417.69,39151.51,Cancelled,45417.69,1135,South,Medium
P0136,Fan,HomeAppliance,26974.59,26522.2,Completed,26974.59,1136,South,Medium
P0137,Mixer,HomeAppliance,12955.82,13189.32,Completed,12955.82,1137,West,High
P0138,Mouse,Electronics,86847.28,79305.86,Completed,86847.28,1138,South,Low
P0139,Bottle,Kitchen,43007.54,36755.93,Completed,43007.54,1139,South,Medium
P0140,Bag,Accessories,53512.24,47176.48,Completed,53512.24,1140,West,Medium
P0141,Fan,HomeAppliance,35006.0,30873.55,Completed,35006.0,1141,East,Low
P0142,Bottle,Kitchen,96425.38,77190.68,Completed,96425.38,1142,North,High
P0143,Mouse,Electronics,76752.03,78846.78,Completed,76752.03,1143,West,High
P0144,Fan,HomeAppliance,74221.94,71607.3,Completed,74221.94,1144,South,High
P0145,Headphones,Electronics,19542.37,17811.62,Cancelled,19542.37,1145,East,Low
P0146,Laptop,Electronics,23359.16,20390.22,Completed,23359.16,1146,East,Medium
P0147,Fan,HomeAppliance,77274.51,66913.79,Completed,77274.51,1147,South,Medium
P0148,Bag,Accessories,83942.37,77517.51,Completed,83942.37,,North,Low
P0149,Bottle,Kitchen,68421.55,59383.69,Pending,68421.55,1149,East,Low
P0150,Fan,HomeAppliance,43710.52,43396.9,Pending,43710.52,1150,East,Medium
P0151,Mixer,HomeAppliance,76988.45,63963.32,Completed,76988.45,1151,East,Medium
P0152,Chair,Furniture,65639.7,60528.67,Pending,65639.7,1152,North,Low
P0153,Shirt,Clothing,72964.29,68149.88,Pending,72964.29,1153,South,Medium
P0154,Watch,Accessories,72131.67,62717.72,Cancelled,72131.67,1154,North,Low
P0155,Shirt,Clothing,87154.66,75487.55,Pending,87154.66,1155,North,Medium
P0156,Headphones,Electronics,39887.91,35144.85,Cancelled,39887.91,1156,West,Medium
P0157,Fan,HomeAppliance,60085.12,49826.32,Pending,60085.12,1157,West,Medium
P0158,Phone,Electronics,50172.89,52232.44,Cancelled,50172.89,1158,North,Low
P0159,Bottle,Kitchen,7735.29,7286.85,Cancelled,7735.29,,West,High
P0160,Bag,Accessories,11189.35,9813.23,Pending,11189.35,1160,West,High
P0161,Watch,Accessories,82122.93,67771.59,Cancelled,82122.93,1161,East,Medium
P0162,Chair,Furniture,37895.21,31754.92,Cancelled,37895.21,1162,West,Medium
P0163,Shoes,Clothing,55424.08,52840.62,Completed,55424.08,1163,South,Low
P0164,Shoes,Clothing,26490.54,21482.94,Pending,26490.54,1164,North,High
P0165,Watch,Accessories,52890.03,54907.12,Completed,52890.03,1165,West,Medium
P0166,Watch,Accessories,31331.39,30083.68,Completed,31331.39,1166,West,Medium
P0167,Headphones,Electronics,71111.78,73659.27,Completed,71111.78,,West,Medium
P0168,Mouse,Electronics,80408.41,70360.28,Completed,80408.41,1168,West,Low
P0169,Bag,Accessories,73561.83,67543.91,Completed,73561.83,1169,East,Medium
P0170,Shoes,Clothing,53643.8,55811.47,Completed,53643.8,1170,West,Low
P0171,Shoes,Clothing,8531.72,8327.22,Completed,8531.72,1171,East,Medium
P0172,Headphones,Electronics,49379.33,50087.41,Completed,49379.33,1172,East,Medium
P0173,Mixer,HomeAppliance,23626.03,22866.05,Completed,23626.03,1173,North,Low
P0174,Shirt,Clothing,37723.92,35757.02,Completed,37723.92,1174,East,Low
P0175,Shoes,Clothing,60730.37,62357.49,Cancelled,60730.37,1175,West,Low
P0176,Shoes,Clothing,15452.77,12561.57,Completed,15452.77,1176,West,Low
P0177,Table,Furniture,15154.87,15568.9,Completed,15154.87,1177,West,High
P0178,Mouse,Electronics,9998.57,10251.58,Completed,9998.57,1178,North,Low
P0179,Bottle,Kitchen,55041.88,45177.4,Completed,55041.88,1179,North,Low
P0180,Shoes,Clothing,65819.49,66491.61,Cancelled,65819.49,1180,South,High
P0181,Mouse,Electronics,2562.6,2541.18,Completed,2562.6,1181,South,High
