item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,196,4,319,21
2,2,441,3,379,5
3,3,221,5,1293,91
4,4,460,3,1104,100
5,5,457,3,5706,64
6,6,73,3,975,81
7,7,386,3,5679,34
8,8,100,1,1018,84
9,9,4,2,2064,78
10,10,55,1,1449,13
11,11,289,3,3470,50
12,12,66,1,5521,15
13,13,334,1,3666,63
14,14,15,4,5839,11
15,15,253,5,2705,20
16,16,388,5,1978,81
17,17,269,2,3958,75
18,18,181,1,5221,86
19,19,255,5,1672,12
20,20,484,5,4463,37
21,21,385,1,229,48
22,22,91,5,3080,58
23,23,216,3,3352,6
24,24,140,1,3065,53
25,25,141,4,2642,92
26,26,26,2,5017,22
27,27,327,5,3044,85
28,28,199,3,1018,50
29,29,241,2,5317,75
30,30,395,-3,289,96
31,31,294,4,5712,32
32,32,256,4,1756,38
33,33,254,2,3744,62
34,34,295,1,4445,63
35,35,99,1,1692,53
36,36,96,1,1306,65
37,37,338,2,1460,98
38,38,266,-3,5740,74
39,39,101,3,5408,20
40,40,269,2,2508,99
41,41,53,4,3664,11
42,42,366,3,3569,66
43,43,380,2,5942,22
44,44,229,5,4221,12
45,45,471,1,890,75
46,46,64,5,5858,8
47,47,354,2,2524,23
48,48,142,5,2600,83
49,49,428,4,4798,4
50,50,85,1,1615,91
51,51,371,1,991,11
52,52,353,2,5947,26
53,53,360,2,4237,96
54,54,237,1,3568,58
55,55,6,3,3762,58
56,56,368,4,1618,84
57,57,390,3,4635,22
58,58,192,3,2150,16
59,59,319,1,2952,0
60,60,133,4,581,12
61,61,205,3,3068,22
62,62,459,5,2846,82
63,63,492,3,2439,13
64,64,87,3,5925,57
65,65,490,4,5551,42
66,66,146,2,444,51
67,67,288,1,2585,87
68,68,322,4,2346,97
69,69,157,2,2177,77
70,70,471,3,496,29
71,71,329,2,3982,94
72,72,191,3,1704,93
73,73,380,3,5274,8
74,74,320,5,1830,40
75,75,172,4,3713,49
76,76,436,2,4230,66
77,77,31,5,5195,48
78,78,103,1,3996,74
79,79,442,1,4532,27
80,80,467,1,879,24
81,81,351,2,3598,82
82,82,146,1,5573,14
83,83,390,1,1874,29
84,84,203,1,3636,64
85,85,452,3,3183,11
86,86,391,1,1467,88
87,87,488,5,1820,8
88,88,281,2,2007,40
89,89,276,4,632,56
90,90,295,4,5813,15
91,91,232,5,737,36
92,92,375,2,2128,79
93,93,330,5,3112,56
94,94,374,3,2773,58
95,95,497,4,5658,52
96,96,248,-4,702,89
97,97,316,4,1906,63
98,98,80,4,5976,95
99,99,496,5,5526,8
100,100,416,2,675,56
101,101,79,4,415,28
102,102,468,1,4770,26
103,103,349,2,5434,42
104,104,12,1,1652,99
105,105,122,3,4973,94
106,106,208,3,4361,98
107,107,435,4,1369,41
108,108,453,3,1033,100
109,109,181,2,5678,84
110,110,260,1,2076,38
111,111,150,4,4010,31
112,112,33,3,3321,41
113,113,25,3,379,13
114,114,212,1,3800,14
115,115,486,2,684,23
116,116,30,2,1681,4
117,117,163,5,4446,16
118,118,396,5,531,17
119,119,90,3,890,34
120,120,71,4,4793,75
121,121,145,1,5901,40
122,122,101,4,1943,6
123,123,134,5,390,76
124,124,133,2,5907,92
125,125,394,1,1594,73
126,126,188,1,3175,95
127,127,210,4,2083,17
128,128,483,5,5054,9
129,129,495,-1,4407,93
130,130,477,-3,3119,4
131,131,32,1,506,35
132,132,458,4,3588,81
133,133,240,1,1608,85
134,134,162,3,5418,13
135,135,290,4,5049,48
136,136,112,2,2210,58
137,137,188,2,2436,29
138,138,266,5,3421,82
139,139,334,1,5530,69
140,140,496,3,209,34
141,141,16,2,5256,29
142,142,57,5,792,74
143,143,493,2,1601,95
144,144,316,5,3924,46
145,145,87,2,2358,55
146,146,162,5,4555,54
147,147,415,3,751,90
148,148,284,1,2631,93
149,149,396,3,1037,42
150,150,178,1,794,80
151,151,373,4,3791,53
152,152,432,1,4370,41
153,153,97,4,5332,24
154,154,126,4,4766,55
155,155,415,2,3013,43
156,156,361,2,3875,39
157,157,472,5,1010,68
158,158,283,1,4821,26
159,159,48,-3,2710,81
160,160,259,2,3766,21
161,161,48,1,490,56
162,162,219,2,5996,95
163,163,491,5,4340,83
164,164,426,3,4929,72
165,165,81,5,253,50
166,166,31,5,5755,75
167,167,434,3,5596,14
168,168,460,2,2750,7
169,169,302,3,2030,62
170,170,482,2,1657,15
171,171,363,3,2444,94
172,172,266,1,5917,87
173,173,54,1,535,100
174,174,342,3,3801,10
175,175,49,5,2689,8
176,176,115,3,5790,70
177,177,180,5,440,87
178,178,298,1,2003,89
179,179,361,1,5717,93
180,180,303,5,4746,54
181,181,396,1,3969,66
182,182,309,1,2505,28
183,183,339,5,492,30
184,184,231,1,5232,91
185,185,400,5,3238,70
186,186,144,2,346,84
187,187,172,2,1040,11
188,188,139,4,5348,28
189,189,116,2,2810,76
190,190,368,1,1034,49
191,191,475,-5,1088,82
192,192,359,5,4740,6
193,193,148,3,5303,74
194,194,447,4,4776,46
195,195,107,3,5142,74
196,196,401,1,4602,90
197,197,271,3,5419,55
198,198,472,1,2878,29
199,199,243,3,3005,23
200,200,371,5,1959,19
201,201,295,1,3934,65
202,202,366,3,4806,55
203,203,113,4,5820,68
204,204,274,4,1174,87
205,205,83,3,5872,5
206,206,495,3,1802,47
207,207,273,1,4059,51
208,208,3,3,5551,36
209,209,454,4,2861,67
210,210,253,1,2957,73
211,211,385,4,4694,25
212,212,137,2,1391,61
213,213,369,4,3716,51
214,214,146,1,2734,14
215,215,135,2,4116,18
216,216,164,2,1504,75
217,217,355,5,1666,73
218,218,148,1,4613,3
219,219,433,5,759,80
220,220,214,2,2150,49
221,221,205,5,5360,43
222,222,97,5,4148,67
223,223,347,4,3861,61
224,224,297,1,3620,27
225,225,47,3,2446,58
226,226,388,2,4099,41
227,227,342,3,4788,43
228,228,100,2,1432,24
229,229,395,3,3109,22
230,230,451,5,1585,49
231,231,108,4,831,69
232,232,245,3,2684,16
233,233,415,3,4439,49
234,234,89,2,1785,91
235,235,207,3,4320,31
236,236,283,3,371,72
237,237,424,5,325,99
238,238,204,1,246,48
239,239,422,3,682,4
240,240,17,4,5392,28
241,241,320,1,4105,73
242,242,228,1,5422,78
243,243,101,3,3232,20
244,244,282,3,4080,61
245,245,64,1,3440,36
246,246,237,4,4371,52
247,247,148,4,676,84
248,248,411,3,694,96
249,249,423,4,352,68
250,250,340,-5,447,69
251,251,184,5,2842,36
252,252,75,1,4013,83
253,253,230,5,1924,61
254,254,360,5,3714,77
255,255,134,5,3502,2
256,256,316,5,4697,54
257,257,59,4,4276,84
258,258,312,2,1673,29
259,259,196,5,5701,14
260,260,128,2,4514,68
261,261,406,5,5550,90
262,262,425,1,3326,63
263,263,367,5,5863,46
264,264,79,1,3801,72
265,265,138,4,2749,92
266,266,238,4,4624,59
267,267,153,2,3139,10
268,268,459,3,779,22
269,269,333,2,5026,90
270,270,284,4,705,39
271,271,428,1,5658,67
272,272,128,1,2374,9
273,273,100,1,559,39
274,274,33,4,2094,23
275,275,162,2,5724,62
276,276,95,1,2075,93
277,277,313,3,3602,6
278,278,379,-5,1364,4
279,279,96,5,5909,17
280,280,478,2,2167,7
281,281,322,3,1326,39
282,282,23,2,473,62
283,283,299,2,1677,15
284,284,10,4,4653,69
285,285,500,4,4957,73
286,286,450,5,2345,61
287,287,112,3,2794,6
288,288,306,4,2852,7
289,289,188,4,3782,14
290,290,142,5,1326,85
291,291,233,4,4274,11
292,292,393,3,3839,4
293,293,56,3,995,48
294,294,445,4,5017,17
295,295,120,4,291,63
296,296,469,1,1400,61
297,297,113,5,1497,26
298,298,60,4,3344,12
299,299,100,2,1052,98
300,300,335,3,2324,91
301,301,5,2,1866,71
302,302,451,1,4788,9
303,303,64,3,1186,10
304,304,256,1,3135,89
305,305,27,2,5887,39
306,306,205,1,4492,71
307,307,88,3,1874,2
308,308,94,1,4983,1
309,309,190,5,3522,69
310,310,101,2,5091,6
311,311,385,1,479,51
312,312,4,5,5761,67
313,313,422,3,3746,35
314,314,255,3,3080,0
315,315,352,5,2510,66
316,316,272,4,311,6
317,317,112,5,1026,14
318,318,273,1,5617,87
319,319,435,2,5658,41
320,320,154,5,1401,46
321,321,315,3,3932,86
322,322,291,1,5296,21
323,323,236,2,2803,89
324,324,326,5,4810,26
325,325,199,3,2510,92
326,326,328,4,4745,12
327,327,491,2,964,75
328,328,401,1,2929,97
329,329,419,3,5595,85
330,330,204,-1,847,92
331,331,60,4,1883,55
332,332,322,2,4154,60
333,333,485,4,1345,84
334,334,73,1,1433,45
