product_id,product_name,category,subcategory,cost_price
1,Headphones,Electronics,Headphones,1251
2,Laptop,Electronics,Laptop,612
3,Headphones,Electronics,Headphones,3756
4,Mouse,Electronics,Mouse,1768
5,Keyboard,Electronics,Keyboard,2329
6,Mobile,Electronics,Mobile,3217
7,Headphones,Electronics,Headphones,157
8,Keyboard,Electronics,Keyboard,295
9,Laptop,Electronics,Laptop,4577
10,Laptop,Electronics,Laptop,747
11,Keyboard,Electronics,Keyboard,2207
12,Keyboard,Electronics,Keyboard,4128
13,Mouse,Electronics,Mouse,3511
14,Laptop,Electronics,Laptop,1245
15,Keyboard,Electronics,Keyboard,1937
16,Laptop,Electronics,Laptop,2942
17,Keyboard,Electronics,Keyboard,3661
18,Keyboard,Electronics,Keyboard,3152
19,Keyboard,Electronics,Keyboard,2611
20,Headphones,Electronics,Headphones,3410
21,Laptop,Electronics,Laptop,4396
22,Keyboard,Electronics,Keyboard,3605
23,Keyboard,Electronics,Keyboard,1068
24,Mobile,Electronics,Mobile,2536
25,Headphones,Electronics,Headphones,260
26,Laptop,Electronics,Laptop,3113
27,Keyboard,Electronics,Keyboard,4779
28,Headphones,Electronics,Headphones,4905
29,Mouse,Electronics,Mouse,4300
30,Laptop,Electronics,Laptop,1495
31,Keyboard,Electronics,Keyboard,1719
32,Mobile,Electronics,Mobile,622
33,Mouse,Electronics,Mouse,601
34,Keyboard,Electronics,Keyboard,3972
35,Headphones,Electronics,Headphones,3721
36,Mobile,Electronics,Mobile,3197
37,Headphones,Electronics,Headphones,4795
38,Laptop,Electronics,Laptop,4922
39,Mouse,Electronics,Mouse,1846
40,Headphones,Electronics,Headphones,3811
41,Keyboard,Electronics,Keyboard,1087
42,Mobile,Electronics,Mobile,1937
43,Headphones,Electronics,Headphones,672
44,Laptop,Electronics,Laptop,4356
45,Laptop,Electronics,Laptop,2591
46,Headphones,Electronics,Headphones,4948
47,Mouse,Electronics,Mouse,3799
48,Mouse,Electronics,Mouse,395
49,Keyboard,Electronics,Keyboard,771
50,Mobile,Electronics,Mobile,640
51,Mouse,Electronics,Mouse,4164
52,Laptop,Electronics,Laptop,3283
53,Mobile,Electronics,Mobile,827
54,Laptop,Electronics,Laptop,1321
55,Mouse,Electronics,Mouse,4416
56,Keyboard,Electronics,Keyboard,3403
57,Keyboard,Electronics,Keyboard,3014
58,Headphones,Electronics,Headphones,867
59,Laptop,Electronics,Laptop,2558
60,Laptop,Electronics,Laptop,365
61,Mobile,Electronics,Mobile,3421
62,Laptop,Electronics,Laptop,1984
63,Headphones,Electronics,Headphones,2281
64,Laptop,Electronics,Laptop,1223
65,Mouse,Electronics,Mouse,2565
66,Laptop,Electronics,Laptop,4595
67,Headphones,Electronics,Headphones,2997
68,Laptop,Electronics,Laptop,3616
69,Mobile,Electronics,Mobile,384
70,Headphones,Electronics,Headphones,1185
71,Mobile,Electronics,Mobile,1075
72,Mouse,Electronics,Mouse,4225
73,Mobile,Electronics,Mobile,197
74,Mobile,Electronics,Mobile,3724
75,Headphones,Electronics,Headphones,639
76,Laptop,Electronics,Laptop,3793
77,Mouse,Electronics,Mouse,1499
78,Keyboard,Electronics,Keyboard,2931
79,Headphones,Electronics,Headphones,4216
80,Laptop,Electronics,Laptop,2525
81,Laptop,Electronics,Laptop,3135
82,Laptop,Electronics,Laptop,1120
83,Laptop,Electronics,Laptop,2262
84,Laptop,Electronics,Laptop,1402
85,Mobile,Electronics,Mobile,443
86,Keyboard,Electronics,Keyboard,1053
87,Laptop,Electronics,Laptop,210
88,Laptop,Electronics,Laptop,1880
89,Laptop,Electronics,Laptop,4352
90,Mobile,Electronics,Mobile,3977
91,Mouse,Electronics,Mouse,1210
92,Laptop,Electronics,Laptop,3821
93,Keyboard,Electronics,Keyboard,316
94,Mouse,Electronics,Mouse,4040
95,Keyboard,Electronics,Keyboard,4539
96,Keyboard,Electronics,Keyboard,1703
97,Mouse,Electronics,Mouse,507
98,Mouse,Electronics,Mouse,4783
99,Laptop,Electronics,Laptop,4117
100,Headphones,Electronics,Headphones,2944
101,Keyboard,Electronics,Keyboard,4094
102,Mouse,Electronics,Mouse,3956
103,Mouse,Electronics,Mouse,1305
104,Mobile,Electronics,Mobile,908
105,Headphones,Electronics,Headphones,2887
106,Mouse,Electronics,Mouse,1822
107,Mobile,Electronics,Mobile,4884
108,Mobile,Electronics,Mobile,2746
109,Mouse,Electronics,Mouse,1881
110,Keyboard,Electronics,Keyboard,4598
111,Laptop,Electronics,Laptop,3047
112,Mobile,Electronics,Mobile,823
113,Mobile,Electronics,Mobile,4010
114,Mobile,Electronics,Mobile,1109
115,Mobile,Electronics,Mobile,749
116,Headphones,Electronics,Headphones,4266
117,Mobile,Electronics,Mobile,4579
118,Keyboard,Electronics,Keyboard,1480
119,Mouse,Electronics,Mouse,1807
120,Laptop,Electronics,Laptop,4712
121,Headphones,Electronics,Headphones,4265
122,Keyboard,Electronics,Keyboard,296
123,Headphones,Electronics,Headphones,4161
124,Headphones,Electronics,Headphones,2409
125,Mouse,Electronics,Mouse,4104
126,Jeans,Clothing,Jeans,3441
127,Jeans,Clothing,Jeans,4853
128,T-Shirt,Clothing,T-Shirt,1142
129,Jacket,Clothing,Jacket,4120
130,Jeans,Clothing,Jeans,3550
131,T-Shirt,Clothing,T-Shirt,1549
132,Shoes,Clothing,Shoes,3754
133,Jeans,Clothing,Jeans,3073
134,T-Shirt,Clothing,T-Shirt,1391
135,Shirt,Clothing,Shirt,2119
136,Shirt,Clothing,Shirt,4035
137,Shirt,Clothing,Shirt,2550
138,Jacket,Clothing,Jacket,4398
139,Shoes,Clothing,Shoes,4093
140,Jacket,Clothing,Jacket,2676
141,Jeans,Clothing,Jeans,611
142,Jeans,Clothing,Jeans,2562
143,T-Shirt,Clothing,T-Shirt,4552
144,Jeans,Clothing,Jeans,4345
145,Jeans,Clothing,Jeans,1892
146,Jeans,Clothing,Jeans,2442
147,Shirt,Clothing,Shirt,1003
148,Shirt,Clothing,Shirt,3997
149,Jacket,Clothing,Jacket,3886
150,Shoes,Clothing,Shoes,843
151,Shoes,Clothing,Shoes,821
152,Jeans,Clothing,Jeans,4287
153,Shirt,Clothing,Shirt,1566
154,Shoes,Clothing,Shoes,1111
155,Shirt,Clothing,Shirt,324
156,Shirt,Clothing,Shirt,3969
157,T-Shirt,Clothing,T-Shirt,1688
158,T-Shirt,Clothing,T-Shirt,2520
159,T-Shirt,Clothing,T-Shirt,2444
160,Shoes,Clothing,Shoes,4976
161,T-Shirt,Clothing,T-Shirt,4609
162,Jacket,Clothing,Jacket,4712
163,Shoes,Clothing,Shoes,739
164,Jacket,Clothing,Jacket,2146
165,Jacket,Clothing,Jacket,154
166,Shoes,Clothing,Shoes,209
167,Shirt,Clothing,Shirt,1257
168,Shirt,Clothing,Shirt,3332
169,Jacket,Clothing,Jacket,3056
170,Shoes,Clothing,Shoes,1617
171,T-Shirt,Clothing,T-Shirt,1995
172,Jeans,Clothing,Jeans,697
173,Shirt,Clothing,Shirt,2954
174,Jeans,Clothing,Jeans,3676
175,Jeans,Clothing,Jeans,603
176,Shirt,Clothing,Shirt,3192
177,Shoes,Clothing,Shoes,4453
178,Jacket,Clothing,Jacket,3712
179,Jeans,Clothing,Jeans,4638
180,Shoes,Clothing,Shoes,3424
181,Shirt,Clothing,Shirt,3655
182,Jacket,Clothing,Jacket,3578
183,T-Shirt,Clothing,T-Shirt,125
184,Shirt,Clothing,Shirt,671
185,T-Shirt,Clothing,T-Shirt,2106
186,Shirt,Clothing,Shirt,2874
187,T-Shirt,Clothing,T-Shirt,186
188,Jeans,Clothing,Jeans,153
189,Shoes,Clothing,Shoes,685
190,Jeans,Clothing,Jeans,2075
191,Jacket,Clothing,Jacket,423
192,Shoes,Clothing,Shoes,333
193,T-Shirt,Clothing,T-Shirt,2535
194,Jeans,Clothing,Jeans,3841
195,Jeans,Clothing,Jeans,4421
196,Jacket,Clothing,Jacket,1853
197,T-Shirt,Clothing,T-Shirt,4493
198,T-Shirt,Clothing,T-Shirt,4542
199,Jacket,Clothing,Jacket,2713
200,Jeans,Clothing,Jeans,3541
201,Jacket,Clothing,Jacket,3873
202,T-Shirt,Clothing,T-Shirt,1098
203,T-Shirt,Clothing,T-Shirt,4297
204,Shirt,Clothing,Shirt,1958
205,Jeans,Clothing,Jeans,4190
206,T-Shirt,Clothing,T-Shirt,4718
207,Shirt,Clothing,Shirt,2169
208,Jeans,Clothing,Jeans,810
209,Jacket,Clothing,Jacket,2780
210,T-Shirt,Clothing,T-Shirt,3716
211,T-Shirt,Clothing,T-Shirt,2682
212,Jacket,Clothing,Jacket,4133
213,Shoes,Clothing,Shoes,1368
214,Shirt,Clothing,Shirt,4939
215,Jeans,Clothing,Jeans,4499
216,Shoes,Clothing,Shoes,591
217,Jacket,Clothing,Jacket,294
218,Jacket,Clothing,Jacket,3485
219,T-Shirt,Clothing,T-Shirt,4259
220,Shoes,Clothing,Shoes,4984
221,Shoes,Clothing,Shoes,730
222,Shoes,Clothing,Shoes,640
223,T-Shirt,Clothing,T-Shirt,675
224,Shirt,Clothing,Shirt,4779
225,Shirt,Clothing,Shirt,4842
226,Shirt,Clothing,Shirt,2676
227,T-Shirt,Clothing,T-Shirt,2900
228,Shirt,Clothing,Shirt,2602
229,Jacket,Clothing,Jacket,2945
230,Shoes,Clothing,Shoes,3850
231,Shirt,Clothing,Shirt,2375
232,T-Shirt,Clothing,T-Shirt,4458
233,Shirt,Clothing,Shirt,2650
234,Shirt,Clothing,Shirt,4088
235,Shirt,Clothing,Shirt,3995
236,Jeans,Clothing,Jeans,1252
237,Jacket,Clothing,Jacket,4033
238,Jacket,Clothing,Jacket,4467
239,T-Shirt,Clothing,T-Shirt,1421
240,Jacket,Clothing,Jacket,3777
241,Shoes,Clothing,Shoes,349
242,T-Shirt,Clothing,T-Shirt,1642
243,Jeans,Clothing,Jeans,2935
244,Jeans,Clothing,Jeans,1271
245,T-Shirt,Clothing,T-Shirt,4811
246,Jacket,Clothing,Jacket,4224
247,Jeans,Clothing,Jeans,584
248,T-Shirt,Clothing,T-Shirt,3638
